employee_id,name,department,position,attendance,salary,phone,email,hired_date
64,Ambika Koirala,Customer Service,Senior Executive,True,41951.13,+977-9827559667,ambika.koirala986@gmail.com,2021-01-05
65,Gita Lamichhane,HR,Assistant Manager,False,41543.57,+977-9764834327,gita_lamichhane@outlook.com,2021-09-03
66,Radha Bhandari,Sales,Guard,False,16645.36,+977-9824484265,radhabhandari@hotmail.com,2021-08-04
67,Gita Oli,HR,Intern,True,7130.34,+977-9868694046,gita.oli@mail.com,2022-08-11
68,Yogesh Budathoki,Customer Service,Intern,True,9161.99,+977-9809336389,yogeshbudathoki@hotmail.com,2022-11-28
69,Bishnu Sharma,IT,Accountant,False,24911.82,+977-9848651988,bishnu.sharma@gmail.com,2023-06-11
70,Asha Pokhrel,IT,Executive,True,26918.59,+977-9747510764,asha_pokhrel680@yahoo.com,2022-12-15
71,Uma Pant,IT,Assistant Manager,True,33346.29,+977-9862164896,uma_pant@gmail.com,2023-07-27
72,Krishna Rijal,Accounts,Guard,True,15021.98,+977-9854994661,krishnarijal90@hotmail.com,2023-03-29
73,Lok Pradhan,Sales,Trainee,False,12499.8,+977-9864148875,lok.pradhan174@yahoo.com,2022-12-08
74,Mina Pant,Accounts,Cashier,True,16957.64,+977-9763062770,mina.pant698@hotmail.com,2021-05-12
75,Uma Adhikari,Logistics,Clerk,True,14249.29,+977-9869709311,umaadhikari157@yahoo.com,2021-10-09
76,Mina Bhandari,Sales,Delivery Person,False,17336.82,+977-9816914087,mina.bhandari938@yahoo.com,2025-01-17
77,Indra Yadav,HR,Senior Executive,True,26275.5,+977-9849850302,indra_yadav@mail.com,2021-09-13
78,Tek Raut,Customer Service,Intern,True,10987.02,+977-9755841548,tek.raut@yahoo.com,2023-05-10
79,Hari Rijal,Customer Service,Officer,True,26823.87,+977-9766850683,hari.rijal373@hotmail.com,2024-02-22
80,Bibek Magar,Sales,Accountant,True,36021.28,+977-9747876763,bibekmagar216@mail.com,2023-07-10
81,Dil Rai,Sales,Executive,False,33009.47,+977-9765841492,dil_rai@outlook.com,2020-04-28
82,Sabin Rai,Inventory,Clerk,True,19550.05,+977-9751729584,sabin_rai638@hotmail.com,2024-07-26
83,Prem Khadka,IT,Intern,True,10443.91,+977-9744753742,prem_khadka@gmail.com,2021-07-08
84,Roshan Bista,Customer Service,Helper,True,15656.02,+977-9856257380,roshanbista631@yahoo.com,2023-01-17
85,Raju Budathoki,Logistics,Driver,True,18566.59,+977-9806352708,raju.budathoki218@hotmail.com,2023-09-16
86,Nabin KC,Management,Helper,False,12497.51,+977-9863024776,nabinkc@mail.com,2024-11-20
87,Yogesh Khadka,Customer Service,Senior Executive,True,35666.82,+977-9819565328,yogeshkhadka@outlook.com,2022-06-22
88,Meena Adhikari,Inventory,Clerk,True,16218.26,+977-9816722413,meena.adhikari18@outlook.com,2022-02-28
89,Mina Sitaula,Inventory,Accountant,True,32173.92,+977-9754997807,mina_sitaula@gmail.com,2022-08-18
90,Mahesh Neupane,Logistics,Senior Executive,False,27893.7,+977-9858816737,maheshneupane@outlook.com,2024-12-24
91,Ambika Rijal,Accounts,Driver,False,23015.19,+977-9853395790,ambika_rijal@yahoo.com,2023-04-15
92,Suresh Limbu,Logistics,Cashier,False,16170.65,+977-9763802939,suresh.limbu@mail.com,2023-10-27
93,Prabha Gautam,Logistics,Officer,True,22788.48,+977-9746397539,prabhagautam815@outlook.com,2024-08-15
94,Sita Basnet,HR,Assistant Manager,True,47970.15,+977-9762989542,sita.basnet26@mail.com,2022-05-17
95,Ramesh Dahal,IT,Manager,False,43725.59,+977-9804846610,ramesh_dahal340@hotmail.com,2024-04-27
96,Santosh Chaudhary,Accounts,Cashier,True,16225.78,+977-9818043191,santosh.chaudhary@mail.com,2023-12-07
97,Sandip Raut,Customer Service,Supervisor,True,20499.88,+977-9856329759,sandipraut528@yahoo.com,2021-04-10
98,Radha Poudel,Customer Service,Assistant Manager,True,41319.26,+977-9746985554,radha.poudel@yahoo.com,2020-03-29
99,Gopal Gautam,Inventory,Guard,True,14961.87,+977-9817183617,gopal.gautam@outlook.com,2024-09-01
100,Shyam Budathoki,Customer Service,Clerk,True,14088.94,+977-9755175224,shyam.budathoki@yahoo.com,2023-10-06
101,Laxmi Adhikari,Logistics,Assistant Manager,False,36259.83,+977-9825364383,laxmi_adhikari770@gmail.com,2022-04-24
102,Kamala Sapkota,Management,Delivery Person,True,21950.68,+977-9819233071,kamala.sapkota@outlook.com,2021-04-07
103,Asha Raut,Management,Senior Executive,True,36406.95,+977-9861527688,asha_raut205@mail.com,2021-09-03
104,Sunita Raut,Sales,Officer,True,25843.54,+977-9816210128,sunita_raut@gmail.com,2020-06-09
105,Meena Pant,IT,Senior Executive,True,44094.11,+977-9828468961,meenapant@hotmail.com,2021-12-17
106,Manish Shah,HR,Intern,True,10421.16,+977-9806468151,manish.shah352@hotmail.com,2022-07-05
107,Sarita KC,Accounts,Accountant,True,25577.22,+977-9758335224,sarita_kc606@outlook.com,2024-12-29
108,Ramesh Pandey,HR,Guard,True,17027.8,+977-9822596534,ramesh.pandey129@outlook.com,2024-09-21
109,Lok Shrestha,Sales,Officer,True,29077.79,+977-9865107325,lok_shrestha@yahoo.com,2024-10-30
110,Saroj Khadka,Customer Service,Guard,True,13138.41,+977-9812691555,saroj_khadka449@mail.com,2023-01-04
111,Anita Bhattarai,Logistics,Helper,True,10260.91,+977-9813059970,anitabhattarai@mail.com,2022-04-02
112,Laxmi Karki,Logistics,Officer,True,28517.42,+977-9752856279,laxmi.karki424@gmail.com,2021-08-01
113,Uma Joshi,Accounts,Helper,True,15850.71,+977-9863035448,uma.joshi@hotmail.com,2021-09-15
114,Sarita Pant,Customer Service,Helper,True,17720.41,+977-9864533969,sarita.pant73@outlook.com,2024-09-20
115,Santosh Joshi,HR,Helper,False,15559.08,+977-9761839077,santoshjoshi129@gmail.com,2021-07-04
116,Tulsi Sharma,Inventory,Manager,True,70856.08,+977-9845753798,tulsi_sharma661@hotmail.com,2020-12-15
117,Yogesh Sherpa,Inventory,Officer,True,24378.57,+977-9846686963,yogesh_sherpa@yahoo.com,2021-07-24
118,Suman Devkota,IT,Manager,True,50601.14,+977-9856574115,suman.devkota84@hotmail.com,2024-06-15
119,Meena Budathoki,Logistics,Cashier,True,24101.36,+977-9853053313,meena_budathoki@yahoo.com,2021-09-03
120,Santosh Sharma,Logistics,Guard,False,17825.59,+977-9758751974,santosh.sharma934@mail.com,2024-04-29
121,Devi Dhakal,Sales,Executive,True,29794.86,+977-9758215165,devi_dhakal887@hotmail.com,2023-01-15
122,Ganesh Yadav,Logistics,Officer,True,20073.18,+977-9808958072,ganesh.yadav@outlook.com,2020-07-20
123,Manish Bhandari,Logistics,Manager,True,75312.85,+977-9822644876,manishbhandari811@outlook.com,2022-08-12
124,Nabin Dhakal,IT,Senior Executive,False,37261.0,+977-9747466325,nabin.dhakal625@hotmail.com,2024-02-17
125,Meena Giri,IT,Assistant Manager,True,41714.91,+977-9843258127,meena_giri@yahoo.com,2020-09-12
126,Ram Tamang,Sales,Trainee,False,8079.34,+977-9807233357,ram_tamang441@hotmail.com,2024-02-01
127,Basanta Budathoki,Accounts,Accountant,True,37292.88,+977-9867752119,basanta.budathoki942@hotmail.com,2021-02-23
128,Nabin Sapkota,Management,Senior Executive,False,29399.36,+977-9847135825,nabin.sapkota291@hotmail.com,2023-03-31
129,Nisha Regmi,Inventory,Guard,True,16810.69,+977-9765074941,nisharegmi@outlook.com,2021-04-27
130,Suresh Ghimire,HR,Manager,True,44396.19,+977-9823367216,suresh.ghimire@hotmail.com,2020-11-11
131,Arun Lama,Logistics,Delivery Person,True,21956.18,+977-9853547531,arun.lama@yahoo.com,2022-01-27
132,Meena Adhikari,Sales,Intern,False,10086.71,+977-9827649575,meena_adhikari@yahoo.com,2021-10-22
133,Keshav Poudel,Management,Accountant,True,37110.24,+977-9849143584,keshavpoudel@hotmail.com,2021-01-12
134,Sandip Sapkota,HR,Driver,True,17713.18,+977-9749469760,sandip.sapkota@outlook.com,2024-07-19
135,Sunil Subedi,Inventory,Accountant,True,38881.7,+977-9865726357,sunil.subedi469@outlook.com,2025-02-12
136,Tek Subedi,Sales,Executive,True,24201.02,+977-9864830160,tek_subedi@mail.com,2024-10-14
137,Prabha Ghimire,Logistics,Trainee,True,13930.53,+977-9842531633,prabha.ghimire815@mail.com,2022-10-15
138,Lok Joshi,Customer Service,Guard,True,16797.3,+977-9755673735,lok_joshi659@mail.com,2020-09-05
139,Sabin Sherpa,Sales,Cashier,True,17984.71,+977-9829226462,sabin.sherpa@mail.com,2025-06-06
140,Ram Yadav,Accounts,Executive,False,27006.24,+977-9842253506,ramyadav289@mail.com,2020-12-15
141,Mohan Sitaula,Management,Guard,True,17288.35,+977-9857615912,mohan_sitaula98@yahoo.com,2024-11-02
142,Bikash Gautam,Logistics,Officer,True,23675.67,+977-9865665126,bikash.gautam@mail.com,2023-04-16
143,Saraswati Sapkota,IT,Assistant Manager,True,42391.61,+977-9864196073,saraswati.sapkota@gmail.com,2020-01-29
144,Nabin Giri,Sales,Guard,False,13409.87,+977-9804284418,nabin_giri403@mail.com,2020-01-26
145,Mina Sharma,IT,Senior Executive,True,44651.28,+977-9819265130,mina.sharma905@mail.com,2024-12-16
146,Parvati Sherpa,Customer Service,Executive,True,34284.57,+977-9843449917,parvati_sherpa148@yahoo.com,2022-02-17
147,Basanta Gurung,Customer Service,Assistant Manager,True,41445.88,+977-9742690099,basanta.gurung@outlook.com,2021-02-13
148,Mina Gurung,Customer Service,Cashier,False,17263.6,+977-9848724327,mina.gurung622@hotmail.com,2022-11-27
149,Janaki Pant,HR,Guard,False,17549.21,+977-9846660267,janakipant391@gmail.com,2021-12-29
150,Ramesh Giri,Management,Manager,True,47286.64,+977-9748180938,rameshgiri@yahoo.com,2023-02-26
151,Durga Pokhrel,Logistics,Officer,True,22574.3,+977-9741651239,durga.pokhrel@yahoo.com,2023-01-22
152,Rekha Yadav,Sales,Manager,True,66402.56,+977-9762905896,rekha.yadav@mail.com,2021-01-22
153,Deepak KC,Customer Service,Guard,True,14727.5,+977-9741932641,deepak.kc@yahoo.com,2025-02-24
154,Yogesh Subedi,Customer Service,Senior Executive,False,37453.43,+977-9867036551,yogesh.subedi@hotmail.com,2025-06-13
155,Shyam Karki,Management,Supervisor,True,30409.32,+977-9754657666,shyam_karki@outlook.com,2024-07-14
156,Meena Singh,Accounts,Officer,False,23652.78,+977-9869144086,meena.singh770@outlook.com,2025-04-29
157,Madan Bista,Inventory,Accountant,False,26122.53,+977-9765813399,madan_bista@gmail.com,2023-09-03
158,Ramesh Magar,Inventory,Executive,True,28535.46,+977-9821709693,ramesh.magar488@mail.com,2021-06-02
159,Gopal Bista,Sales,Accountant,True,29900.26,+977-9753496839,gopalbista379@yahoo.com,2021-02-16
160,Janaki Budathoki,Customer Service,Executive,True,25432.97,+977-9749602562,janakibudathoki150@outlook.com,2021-03-11
161,Meena Joshi,Accounts,Helper,True,17640.16,+977-9754891673,meena_joshi@yahoo.com,2021-11-05
162,Bikash Sherpa,Accounts,Officer,True,24844.83,+977-9862442183,bikash_sherpa@yahoo.com,2024-11-04
163,Santosh Adhikari,Inventory,Intern,True,10180.5,+977-9827804040,santosh_adhikari865@yahoo.com,2021-03-28
164,Raju Pokhrel,Logistics,Supervisor,True,23704.53,+977-9803155837,raju.pokhrel@yahoo.com,2024-12-29
165,Narayan Sharma,Customer Service,Delivery Person,True,21234.87,+977-9751217325,narayansharma@yahoo.com,2024-11-17
166,Bal Adhikari,Management,Clerk,True,19048.07,+977-9828888600,bal.adhikari@outlook.com,2025-03-26
167,Sandip Karki,Sales,Helper,False,17602.48,+977-9801735719,sandip_karki864@gmail.com,2023-07-17
168,Basanta Yadav,IT,Officer,True,23778.25,+977-9751359943,basanta.yadav894@yahoo.com,2022-03-27
169,Hari KC,Management,Guard,True,12973.8,+977-9861099138,hari.kc@outlook.com,2023-01-26
170,Indra Mandal,Logistics,Manager,True,56991.53,+977-9823453045,indra.mandal@hotmail.com,2024-07-30
171,Arun Ghimire,Accounts,Cashier,True,23250.32,+977-9761341173,arun.ghimire973@mail.com,2022-11-11
172,Nabin Sharma,Logistics,Clerk,False,16514.48,+977-9824744569,nabin.sharma40@gmail.com,2023-11-27
173,Saroj Adhikari,Management,Guard,True,14895.5,+977-9825234309,sarojadhikari328@outlook.com,2025-02-15
174,Krishna Magar,Inventory,Intern,True,9637.96,+977-9761110022,krishna.magar@hotmail.com,2023-05-30
175,Kamala Yadav,Sales,Intern,True,11345.65,+977-9743937003,kamala.yadav20@yahoo.com,2021-11-12
176,Anita Sapkota,Customer Service,Assistant Manager,False,44695.53,+977-9746715302,anitasapkota@mail.com,2024-02-05
177,Santosh Pokhrel,Sales,Accountant,True,36000.06,+977-9813879757,santosh.pokhrel685@gmail.com,2024-09-17
178,Nirmala Limbu,Management,Driver,True,24154.06,+977-9805023523,nirmala.limbu@yahoo.com,2022-12-08
179,Sarita Gurung,Management,Cashier,True,23780.75,+977-9868882571,saritagurung@mail.com,2021-10-15
180,Nisha Tiwari,HR,Helper,True,11220.17,+977-9856233795,nisha_tiwari@yahoo.com,2022-11-06
181,Madan Rai,Inventory,Helper,True,11733.74,+977-9862846805,madan_rai895@hotmail.com,2024-05-01
182,Prem Pandey,Sales,Driver,True,17457.06,+977-9761872688,prem.pandey208@yahoo.com,2024-10-07
183,Bimal KC,HR,Senior Executive,True,37868.9,+977-9749678571,bimalkc567@outlook.com,2021-11-20
184,Saraswati Limbu,Management,Assistant Manager,False,35665.78,+977-9757306162,saraswati_limbu@yahoo.com,2021-06-11
185,Madan Tamang,IT,Guard,True,12152.75,+977-9768424334,madantamang813@hotmail.com,2022-04-30
186,Sita Dhakal,Accounts,Trainee,True,14925.31,+977-9869401464,sita_dhakal@outlook.com,2024-09-26
187,Nabin Tiwari,Inventory,Supervisor,True,32515.48,+977-9852574075,nabin.tiwari@mail.com,2022-05-21
188,Raju Devkota,Sales,Intern,True,10407.14,+977-9755788666,raju_devkota553@gmail.com,2022-08-22
189,Sunil Limbu,Logistics,Driver,True,21342.67,+977-9867759772,sunil.limbu763@yahoo.com,2025-01-16
190,Kopila Adhikari,Customer Service,Supervisor,True,32634.98,+977-9812199172,kopila.adhikari@hotmail.com,2020-08-19
191,Kiran Pokhrel,Inventory,Intern,True,5881.71,+977-9759906163,kiranpokhrel@gmail.com,2022-01-24
192,Sabin Tiwari,Customer Service,Delivery Person,True,16132.23,+977-9857424484,sabintiwari577@hotmail.com,2020-05-11
193,Chandra Dahal,HR,Clerk,False,18685.44,+977-9821278183,chandra_dahal358@gmail.com,2020-03-18
194,Suresh Sitaula,Inventory,Clerk,True,16167.4,+977-9826570826,suresh_sitaula@mail.com,2023-03-31
195,Keshav Tamang,Sales,Supervisor,True,29217.34,+977-9867755079,keshav_tamang@gmail.com,2022-12-05
196,Ganesh Devkota,Logistics,Officer,False,18838.42,+977-9858637175,ganesh.devkota158@outlook.com,2020-05-19
197,Ambika Gurung,HR,Helper,True,12317.64,+977-9847409906,ambikagurung@gmail.com,2023-09-14
198,Arun Lama,Sales,Manager,False,54421.4,+977-9758627233,arun.lama@hotmail.com,2023-01-18
199,Sabina Dahal,Management,Executive,True,32115.61,+977-9805741320,sabina_dahal@gmail.com,2023-01-13
200,Puja Adhikari,Sales,Executive,False,22226.52,+977-9814125462,puja.adhikari@hotmail.com,2020-01-17
201,Kopila Tamang,Management,Delivery Person,True,20407.1,+977-9827992863,kopila.tamang837@mail.com,2025-01-22
202,Bishnu Poudel,Inventory,Accountant,True,36763.48,+977-9762598111,bishnupoudel10@gmail.com,2021-02-27
203,Sandip Sapkota,Logistics,Guard,True,16325.71,+977-9842695635,sandip.sapkota317@yahoo.com,2022-02-27
204,Bishnu Singh,Inventory,Intern,True,11277.17,+977-9765964576,bishnu_singh184@mail.com,2024-11-14
205,Anita Joshi,Accounts,Accountant,False,37922.22,+977-9811396509,anitajoshi@gmail.com,2024-10-06
206,Sabin Neupane,Sales,Assistant Manager,True,48683.91,+977-9812633551,sabin_neupane@mail.com,2021-06-02
207,Kopila Rai,HR,Intern,False,10348.42,+977-9852468227,kopila_rai846@yahoo.com,2021-08-14
208,Yogesh Magar,Inventory,Driver,True,20947.36,+977-9815842306,yogesh_magar@mail.com,2020-01-29
209,Bimal Chaudhary,Logistics,Intern,True,6826.93,+977-9815078580,bimal_chaudhary@outlook.com,2025-05-26
210,Parvati Lama,Management,Delivery Person,False,12055.92,+977-9857783729,parvati_lama@mail.com,2020-10-03
211,Binita Lama,Customer Service,Guard,True,12146.39,+977-9753346018,binitalama202@mail.com,2021-01-09
212,Anita KC,HR,Cashier,True,20344.2,+977-9849284214,anita_kc451@gmail.com,2023-10-16
213,Sunita Adhikari,Customer Service,Accountant,True,32200.78,+977-9845339588,sunita.adhikari@outlook.com,2023-10-08
214,Prakash Gautam,Management,Delivery Person,True,18464.3,+977-9746267031,prakashgautam@yahoo.com,2025-04-25
215,Asha Bhandari,Inventory,Senior Executive,True,25223.43,+977-9751334876,asha_bhandari@yahoo.com,2025-06-11
216,Laxmi Pant,Customer Service,Intern,True,9766.89,+977-9829839964,laxmipant749@outlook.com,2020-04-24
217,Yogesh Rijal,Accounts,Assistant Manager,True,36671.4,+977-9749838464,yogesh.rijal722@outlook.com,2024-11-05
218,Ramesh Pandey,Accounts,Executive,True,28636.36,+977-9852875556,ramesh_pandey712@gmail.com,2021-06-17
219,Krishna Sapkota,Inventory,Delivery Person,False,16223.09,+977-9755160616,krishna_sapkota@gmail.com,2020-04-26
220,Basanta Ghimire,Sales,Supervisor,True,29970.13,+977-9741816805,basantaghimire185@hotmail.com,2021-05-17
221,Devi Shrestha,Inventory,Driver,True,16847.7,+977-9755091890,devi.shrestha@yahoo.com,2020-03-09
222,Bal Sitaula,Management,Senior Executive,True,42535.82,+977-9765881125,bal_sitaula@hotmail.com,2021-04-27
223,Mohan Gautam,Inventory,Helper,False,15011.02,+977-9863855969,mohangautam973@hotmail.com,2020-06-13
224,Devi Poudel,HR,Helper,True,14461.75,+977-9846145306,devi.poudel@hotmail.com,2024-01-21
225,Sarita Magar,Inventory,Clerk,True,13339.39,+977-9761229650,sarita_magar247@hotmail.com,2025-05-21
226,Anita Koirala,Logistics,Supervisor,True,24809.27,+977-9758414698,anitakoirala954@hotmail.com,2022-12-18
227,Santosh Neupane,Sales,Accountant,True,25061.67,+977-9827155148,santosh_neupane@gmail.com,2023-02-11
228,Rajesh Chaudhary,Management,Clerk,True,12169.18,+977-9853120854,rajeshchaudhary@yahoo.com,2024-01-30
229,Nirmala Shrestha,Logistics,Cashier,True,16849.45,+977-9746839639,nirmalashrestha@yahoo.com,2023-06-03
230,Binita Bhattarai,Sales,Accountant,True,37985.74,+977-9808109996,binitabhattarai@mail.com,2021-10-19
231,Ganesh Dahal,HR,Supervisor,True,23462.44,+977-9764034907,ganesh.dahal@yahoo.com,2022-04-03
232,Bal Singh,IT,Accountant,True,34190.72,+977-9744574485,bal_singh732@outlook.com,2024-12-29
233,Prakash Limbu,Logistics,Assistant Manager,True,44425.6,+977-9754001864,prakash_limbu7@outlook.com,2024-10-14
234,Mohan Pradhan,Customer Service,Guard,True,15229.55,+977-9741631569,mohanpradhan@outlook.com,2022-09-19
235,Puja Ghimire,Sales,Driver,True,20522.86,+977-9813451897,puja_ghimire988@yahoo.com,2022-11-14
236,Sabin Tamang,HR,Helper,True,15113.35,+977-9748811001,sabin.tamang@yahoo.com,2021-10-01
237,Parvati Limbu,Management,Officer,True,24074.68,+977-9747945174,parvati.limbu@gmail.com,2020-10-13
238,Dil Karki,HR,Helper,True,16775.09,+977-9822701644,dil.karki227@yahoo.com,2022-08-08
239,Bijay Magar,IT,Intern,False,11579.58,+977-9827234790,bijay_magar265@yahoo.com,2023-03-16
240,Saroj Oli,Logistics,Helper,True,13970.51,+977-9825968757,saroj.oli@yahoo.com,2020-10-12
241,Bimal Chaudhary,Sales,Driver,False,22824.97,+977-9805453627,bimal_chaudhary@yahoo.com,2020-05-11
242,Jaya Yadav,Customer Service,Cashier,True,23384.26,+977-9754899466,jaya_yadav@yahoo.com,2022-05-06
243,Kiran Budathoki,Accounts,Officer,True,21636.7,+977-9759861818,kiranbudathoki590@yahoo.com,2021-11-12
244,Sunil Bhattarai,Customer Service,Clerk,True,17441.29,+977-9763845318,sunil_bhattarai@mail.com,2022-09-28
245,Laxmi Pradhan,HR,Supervisor,True,22976.39,+977-9801668912,laxmipradhan660@outlook.com,2025-05-02
